財務省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外貨準備等の状況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Reserves/Foreign Currency Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：百万ドル）　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（US$ millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ｉ．外貨準備及びその他外貨資産,,,,,,,,,,,,,,,,,,,,,,II．短期の外貨建債務等,,,,,,,,,,,,,,,,,,,,,III．短期の外貨建偶発債務等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV．メモ項目,,,,,,,,,,,,,,,,,,
平成13年,1月,2001,Jan,364219,349896,281904,,67992,8092,39276,,20624,20624,5414,2416,6493,24.55,,,,,,,,,,,,,-2703,-1386,-1317,,-2703,-1386,-1317,,,,,,,,,,,-3745,-750,,-2995,-3745,-750,,-2995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2月,,Feb,363690,349441,282327,,67114,6665,39475,,20974,20974,5227,2475,6547,24.55,,,,,,,,,,,,,-1298,-1298,,,-1298,-1298,,,,,,,,,,,,-2995,,-367,-2628,-2995,,-367,-2628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3月,,Mar,361472,347801,281973,,65828,5175,39355,,21298,21298,4976,2369,6326,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2993,,-912,-2081,-2993,,-912,-2081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361362,110
,4月,,Apr,362611,348891,283312,,65579,5703,38892,,20984,20984,4909,2351,6460,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2988,-365,-1038,-1585,-2988,-365,-1038,-1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5月,,May,361904,347877,282069,,65808,5330,38921,,21557,21557,5060,2386,6581,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3823,-550,-1356,-1917,-3823,-550,-1356,-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6月,,Jun,362666,348583,284754,,63829,5344,37580,,20905,20905,5080,2346,6657,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3353,-484,-1155,-1714,-3353,-484,-1155,-1714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7月,,Jul,367676,353460,288305,,65155,5363,38040,,21752,21752,5304,2370,6542,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2875,-877,-511,-1487,-2875,-877,-511,-1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8月,,Aug,372217,357626,290821,,66805,5412,38556,,22837,22837,5402,2473,6716,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2517,-157,-247,-2113,-2517,-157,-247,-2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9月,,Sep,397015,380673,302774,,77899,9046,42546,,26307,26307,6656,2475,7211,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2643,-46,-200,-2397,-2643,-46,-200,-2397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10月,,Oct,405701,390029,320371,,69658,5579,39841,,24238,24238,6424,2390,6858,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2809,-200,,-2609,-2809,-200,,-2609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
